বাঙ্গালী জাতির পরিচয় কি?	উঃ শংকর জাতি হিসেবে।			
ঢাকা পৌরসভার প্রথম নির্বাচিত চেয়ারম্যান কে?	উঃ আনন্দ চন্দ্র রায়।			
ঢাকা পৌরসভার প্রথম মনোনিত চেয়ারম্যান কে?	উঃ মিঃ স্কিনার।			
কবে ঢাকা পৌরসভাকে পৌর কর্পোরেশন করা হয়?	উঃ ১৯৭৮ সালে।			
ঢাকা পৌর কর্পোরেশনের প্রথম মেয়র কে?	উঃ ব্যারিস্টার আবুল হাসনাত।			
কবে ঢাকা পৌর কর্পোরেশনকে সিটি কর্পোরেশন করা হয়?	উঃ ১৯৮৯ সালে।			
ঢাকা সিটি কর্পোরেশনের মোট ওয়ার্ড সংখ্যা কতটি?	উঃ ১০০ টি।			
পুলিশের নতুন পোশাক কবে চালু হয়?	উঃ ১০ জানুয়ারী, ২০০৪।			
বাংলাদেশ পুলিশের মনোগ্রাম থেকে কি বাদ দেয়া হয়েছিল?	উঃ নৌকা।			
বাংলাদেশের সীমান্তবর্তী জেলার সংখ্যা কতটি	উঃ ৩১ টি।			
রেপিড এ্যাকশন ব্যাটেলিয়ন (র‌্যাব) কবে আনুষ্ঠানিকভাবে গঠিত হয়?	উঃ ২৬ মার্চ, ২০০৪			
বাংলাদেশ সেনাবাহিনীর সদর দপ্তর কোথায়?	উঃ ঢাকায়।			
বাংলাদেশ সেনাবাহিনীর প্রধান কে?	উঃ জেনারেল আবু বেলাল মোহাম্মদ শফিউল হক। (২৫/০৬/২০১৫, ১৮তম)	
বাংলাদেশ নৌ-বাহিনীর সদর দপ্তর কোথায়?	উঃ ঢাকায়।			
বাংলাদেশ নৌ-বাহিনীর প্রধান কে?	উঃ ভাইস এডমিরাল মুহাম্মদ ফরিদ হাবিব			
বাংলাদেশ বিমান বাহিনীর সদর দপ্তর কোথায়?	উঃ ঢাকায়।			
বাংলাদেশ বিমান বাহিনীর প্রধান কে?	উঃ এয়ার মার্শাল আবু এসরার। (১২ জুন/২০১৫)	
প্রথম বাঙ্গালী মুসলিম বিমান সেনা কে ছিলেন?	উঃ স্কোয়াড্রন লিডার আফাজুর রহমান।			
বাংলাদেশের প্রথম প্রধান সেনাপতির নাম কি?	উঃ এম এ জি ওসমানী।			
বাংলাদেশের সামরিক সদর দপ্তর কোথায়?	উঃ কুর্মিটোলায়।			
কোন দিন সশস্ত্র বাহিনী দিবস?	উঃ ২১ নভেম্বর।			
বাংলাদেশের কোথায় কোথায় সেনা নিবাস আছে?	উঃ ঢাকা, মিরপুর, সাভার, গাজিপুর, কুমিল্লা, যশোর, চট্টগ্রাম, রংপুর, সৈয়দপুর, বগুড়া, খুলনা, রাঙ্গামাটি, খাগড়াছড়ি, বান্দরবান, টাঙ্গাইল ও রাজশাহী।
বাংলাদেশের প্রথম মহিলা ব্রিগেডিয়ার কে?	উঃ সুরাইয়া রহমান।			
বাংলাদেশ সেনাবাহিনীতে পদোন্নতি প্রাপ্ত প্রথম পূর্ন জেনারেল কে?	উঃ বঙ্গবীর জেনারেল ওসমানী।			
বাংলাদেশ সেনাবাহিনীর পূর্ব নাম কি?	উঃ ইস্ট বেঙ্গল রেজিমেন্ট।			
সেনা, নৌ ও বিমান বাহিনীর সম্মিলিত দলের নাম কি?	উঃ ট্রাস্কফোর্স।			
বাংলাদেশ রাইফেলস এর গোড়া পত্তন হয়েছিল কবে?	উঃ ১৯৭৫ সালে।			
বাংলাদেশ রাইফেলস এর পূর্ব নাম কি?	উঃ রামগড় লোকাল ব্যাটালিয়ান।			
বাংলাদেশ পুলিশ প্রশাসন চলে কোন রেগুলেশন দ্বারা?	উঃ ১৮৬১ সালের রেগুলেশন দ্বারা।			
বাংলাদেশে মহিলা পুলিশ নিয়োগ কবে থেকে শুরু?	উঃ ১৯৭৬।			
উপমহাদেশে কবে পুলিশ সার্ভিস চালূ হয়?	উঃ ১৮৬১ সালে।			
বাংলাদেশ নৌবাহিনীর প্রথম রণতরীর নাম কি?	উঃ বিএনএস পদ্মা।			
বাংলাদেশ নৌবাহিনীর প্রতীক কি?	উঃ রণতরী।			
প্যারাসুটের মাধ্যমে ধ্বংশ প্রাপ্ত বিমান থেকে অবতরনকে কি বলে?	উঃ বেল-আউট।			
‘সোর্ড অব অনার’ সম্মান কাদের প্রদান করা হয়?	উঃ সেনাবাহিনীর শ্রেষ্ঠ ক্যাডেটদের।			
বাংলাদেশে বর্তমানে প্রতিরক্ষা মন্ত্রণালয় কার অধীনে?	উঃ প্রধানমন্ত্রী।			
বাংলাদেশে নিয়োমিত সেনাবাহিনী কবে গঠন করা হয়?	উঃ ২১ নভেম্বর, ১৯৭১।			
বাংলাদেশ এয়ার ফোর্স ট্রেনিং একাডেমী কোথায় অবস্থিত?	উঃ যশোর।			
বাংলাদেশে মিলিটারী একাডেমী কতটি ও কোথায়?	উঃ ১ টি। চট্ট্রগ্রামের ভাটিয়ারীতে।			
বাংলাদেশে নেভাল একাডেমী কতটি ও কোথায়?	উঃ ১ টি। চট্ট্রগ্রামের পতেঙ্গায়।			
বাংলাদেশে মেরিন একাডেমী কতটি ও কোথায়?	উঃ ১ টি। চট্ট্রগ্রামের জলদিয়ায়।			
বাংলাদেশ পলিশ একাডেমী কতটি ও কোথায়?	উঃ ১টি। রাজশাহীর সারদায়।			
আনসার প্রশিক্ষণ কেন্দ্র কোথায় অবস্থিত?	উঃ শফিপুর, গাজিপুর।			
‘আমি যখন পুলিশ ছিলাম’ গ্রন্থের লেখক কে?	উঃ ধীরাজ ভট্টাচার্য।			
বাংলাদেশে বর্তমানে কয়টি পুলিশ রেঞ্জ?	উঃ ৬ টি।			
বাংলাদেশ পুলিশ বাহিনীতে ‘ডগ স্কোয়ার্ড’ কবে গঠিত হয়?	উঃ ১৯৯৮ সালে।
বাংলা সন কে কবে চালু করেন?	উঃ সম্রাট আকবর, ১৫৫৬ ইং সন।			
‘গম্ভীরা’ বাংলাদেশের কোন অঞ্চলের গান?	উঃ চাপাইনবাবগঞ্জ।			
‘চটকা’ বাংলাদেশের কোন অঞ্চলের গান?	উঃ রংপুর অঞ্চলের।			
‘ভাটিয়ালী’ বাংলাদেশের কোন অঞ্চলের গান?	উঃ ময়মনসিংহ।			
ঢাকা ময়মনসিংহ অঞ্চলের ঐতিহ্যবাহী নৃত্য গীতের নাম কি?	উঃ জারি।			
‘আমার ভাইয়ের রক্তে রাঙ্গানো’ গানটির গীতিকার কে?	উঃ আবদুল গফ্‌ফার চৌধুরী।			
‘আমার ভাইয়ের রক্তে রাঙ্গানো’ গানটির প্রথম সুরকার কে?	উঃ আবদুল লতিফ।			
‘আমার ভাইয়ের রক্তে রাঙ্গানো’ গানটির বর্তমান সুরকার কে?	উঃ আলতাফ মাহমুদ।			
‘মোরা একটি ফুলকে বাঁচাবো বলে যুদ্ধ করি’ গানটির গীতিকার কে?	উঃ গোবিন্দ্র হাওলাদার।			
‘মোরা একটি ফুলকে বাঁচাবো বলে যুদ্ধ করি’ গানটির সুরকার ও শিল্পী কে?	উঃ আপেল মাহমুদ।			
বাংলাদশের একমাত্র লোকশিল্প জাদুঘরটি কোথায় অবস্থিত?	উঃ সোনারগাঁয়ে।			
বাংলাদেশের প্রথম যাদুঘর কোনটি?	উঃ বরেন্দ্র যাদুঘর, রাজশাহী ১০ ডিসেম্বর, ১৯১০।			
ঢাকা যাদুঘর কখন প্রতিষ্ঠিত হয়?	উঃ ০৭ আগষ্ট, ১৯১৩ সালে।			
ঢাকা যাদুঘর কবে জাতীয় যাদুঘরে রূপান্তরিত হয়?	উঃ ১৭ নভেম্বর, ১৯৮৩।			
বাংলাদেশের জাতিভিত্ত্বিক বা নৃ-তাত্ত্বিক যাদুঘর কোথায়?	উঃ চট্টগ্রামের আগ্রাবাদে।			
মুক্তিযুদ্ধ যাদুঘর কোথায় অবস্থিত?	উঃ ঢাকার সেগুন বাগিচায়, ২২ মার্চ, ১৯৯৬।			
বিজ্ঞান যাদুঘরটি কোথায় অবস্থিত?	উঃ ঢাকার আগারগাঁয়ে।			
মহাস্থানগড় যাদুঘর কোথায় অবস্থিত?	উঃ বগুড়া।			
জয়নুল আর্ট গ্যালারী কোথায় অবস্থিত?	উঃ ময়মনসিংহ।			
বাংলাদেশের একমাত্র প্রানী যাদুঘর কোথায় অবস্থিত?	উঃ মীরপুর, ঢাকা। (চিড়িয়াখানার মধ্যে)			
‘দুর্ভিক্ষের উপর ম্যাডোনা ৪৩’ ছবিটি কে একেঁছেন?	উঃ শিল্পাচার্য জয়নুল আবেদীন।			
প্রখ্যাত ‘তিন কন্যা’ ছবিটি কে একেঁছেন?	উঃ কামরুল হাসান।			
বাংলাদেশের আন্তর্জাতিক খ্যাতি সম্পন্ন সঙ্গীতজ্ঞ কে ছিলেন?	উঃ ওস্তাদ আয়াত আলী খান।			
বাংলাদেশের আন্তর্জাতিক খ্যাতি সম্পন্ন নৃত্যশিল্পী কে ছিলেন?	উঃ বুলবুল চৌধুরী।			
বাংলাদেশের আন্তর্জাতিক খ্যাতি সম্পন্ন পল্লীগীতি শিল্পী কে ছিলেন?	উঃ আব্বাস উদ্দিন ও আব্দুল আলীম।			
বাংলাদেশের আন্তর্জাতিক খ্যাতি সম্পন্ন যাদুকর কে?	উঃ জুয়েল আইচ।			
বাংলাদেশের বিখ্যাত ভাস্কর কে?	উঃ শামীম সিকদার।			
বাংলাদেশের শ্রেষ্ঠ কাঠ খোদাই শিল্পী কে ?	উঃ অলক রায়।			
বাংলাদেশের শ্রেষ্ঠ কাটুনিস্ট কে ?	উঃ রফিকুন্নবী (রনবী)।			
বাংলাদেশের সুর সম্রাট কাকে বলে?	উঃ ওস্তাদ আলাউদ্দিন খাঁ।			
বাংলা একাডেমী কবে প্রতিষ্ঠিত হয়?	উঃ ০৩ ডিসেম্বর, ১৯৫৫।			
পূর্বে বাংলা একাডেমীর নাম কি ছিল?	উঃ বর্ধমান হাউজ।			
বাংলাদেশ শিল্পকলা একাডেমী কবে প্রতিষ্ঠিত হয়?	উঃ ১৯৭৪।			
শিশু একাডেমী কবে প্রতিষ্ঠিত হয়?	উঃ ১৯৭৭ সাল।			
বাংলাভাষার আদি নিদর্শন কি?	উঃ চর্যাপদ।			
বাংলাদেশের ‘বাউল সম্রাট’ কাকে বলা হয়?	উঃ লালন ফকির।			
বাংলা মুদ্রাক্ষরের জনক কে?	উঃ চার্লস উইলকিনস্‌।			
সর্বপ্রথম চলচ্চিত্র কে, কখন নির্মাণ করেন?	উঃ লুমিয়ার ব্রাদার (যুক্তরাষ্ট্র), ১৮৯৫ সাল।			
উপমহাদেশের চলচ্চিত্রের জনক কে?	উঃ হীরালাল সেন।			
বাংলাদেশের চলচ্চিত্রের জনক কে?	উঃ আবদুল জব্বার খান।			
হীরালাল সেনের নির্মিত চলচ্চিত্রটি প্রথম কবে কোথায় প্রদর্শিত হয়?	উঃ ৪ এপ্রিল, ১৮৯৮ সালে কলিকাতার ক্লাসিক থিয়েটারে।			
উপমহাদেশের প্রথম ও বাংলায় সবাক চলচ্চিত্র কোনটি?	উঃ জামাই ষষ্ঠী, ১৯৩১ সালে।			
উপহমাদেশের প্রথম নির্বাক চলচ্চিত্রের নাম কি?	উঃ আলী বাবা ও চল্লিশ চোর।			
বাংলাদেশের প্রথম চলচ্চিত্র কোনটি?	উঃ মুখ ও মুখোশ, ৩ আগষ্ট, ১৯৫৬।			
মুখ ও মুখোশ চলচ্চিত্রের পরিচালক কে ছিলেন?	উঃ আবদুল জব্বার খান।			
অস্কার পুরস্কার প্রাপ্ত একমাত্র বাংলা চলচ্চিত্র কোনটি?	উঃ পথের পাঁচালী, ১৯৯১ সাল।			
পথের পাঁচালী চলচ্চিত্রটির পরিচালক কে ছিলেন?	উঃ সত্যজিৎ রায়।			
পথের পাঁচালী চলচ্চিত্রটির প্রথম প্রদর্শিত হয়?	উঃ ১৯৫৫ সালে।			
বাংলাদেশের শ্রেষ্ঠ চলচ্চিত্র পরিচালক কে?	উঃ জহির রায়হান।			
জহির রায়হান পরিচালিত প্রথম চলচ্চিত্র কোনটি?	উঃ কখনো আসেনি।			
জহির রায়হান পরিচালিত বিখ্যাত চলচ্চিত্রগুলো হল?	উঃ ‘কাঁচের দেয়াল’, ‘জীবন থেকে নেয়া’, ‘Stop Genocide’			
বাংলাদেশের প্রথম প্রামান্য চিত্রের নাম কি?	উঃ ‘স্টপ জেনোসাইড’।			
‘চিত্রা নদীর পাড়ে’ ও ‘লালসালু’ চলচ্চিত্রের নির্মাতা কে?	উঃ তানভীর মোকাম্মেল।			
‘মুক্তির গান’, ‘অগ্রযাত্রা’ ও ‘মাটির ময়না’ চলচ্চিত্রের নির্মাতা কে?	উঃ তারেক মাসুদ।			
‘চাকা’ ও ‘আগামী’ এর নির্মাতা কে?	উঃ মোরশেদুল ইসলাম।			
‘পদ্মা নদীর মাঝি’ চলচ্চিত্রটির নির্মাতা কে?	উঃ গৌতম ঘোষ।			
‘লিবারেশন ফাইটার্স’ চলচ্চিত্রটির পরিচালক কে?	উঃ আলমগীর কবির।			
কোন প্রামান্য চিত্রটি ইন্টারন্যাশনাল এ্যামি অ্যাওয়ার্ড পুরস্কার লাভ করে?	উঃ ‘আমরাও পারি’ (এটিএন বাংলা নির্মিত)।			
বাংলা সিনেমার কোন অভিনেত্রী ‘ডক্টরেট’ ডিগ্রী লাভ করেছেন?	উঃ ববিতা।			
বাংলা সিনেমার প্রথম অভিনেত্রী কে?	উঃ পূর্নিমা সেনগুপ্তা।			
বাংলা সিনেমার প্রথম মুসলিম অভিনেত্রী কে?	উঃ বনানী চৌধুরী।			
বনানী চৌধুরী অভিনীত প্রথম চলচ্চিত্র কোনটি?	উঃ বিশ বছর আগে			
এফডিসি কবে প্রতিষ্ঠিত হয়?	উঃ ১৯৫৮ সালে।			
এফডিসিতে নির্মিত প্রথম ছবি কোনটি?	উঃ আছিয়া।			
এফডিসির প্রথম মুক্তিপ্রাপ্ত ছবি কোনটি?	উঃ আকাশ ও মাটি।
বাংলাদেশের রাষ্ট্রপতি ও সেনাবাহিনীর সর্বাধিনায়ক কে?	উঃ আব্দুল হামিদ।	
বাংলাদেশ সরকারের বর্তমান প্রধানমন্ত্রী কে?	উঃ শেখ হাসিনা।			
বাংলাদেশ জাতীয় সংসদের বর্তমান স্পিকার কে?	উঃ শিরীন শারমিন চৌধুরী।			
বাংলাদেশের বর্তমান প্রধান বিচারপতি কে?	উঃ বিচারপতি এস কে সিনহা। (২১তম)	
বাংলাদেশের বর্তমান এটর্নী জেনারেল কে?	উঃ ব্যারিস্টার মাহবুবে আলম।			
বাংলাদেশের বর্তমান সেনাবাহিনীর প্রধান কে?	উঃ জেনারেল আবু বেলাল মোহাম্মদ শফিউল হক। (২৫/০৬/২০১৫, ১৮তম)	
বাংলাদেশের বর্তমান নৌবাহিনীর প্রধান কে?	উঃ এডমিরাল নিজামউদ্দিন আহমেদ (২৭ জানু, ২০১৬)।	
বাংলাদেশের বর্তমান বিমান বাহিনীর প্রধান কে?	উঃ এয়ার মার্শাল আবু এসরার। (১২ জুন/২০১৫)	
বাংলাদেশের ডিজিএফআই-এর বর্তমান মহাপরিচালক কে?	‌‌উঃ ব্রিগেডিয়ার জেনারেল আকবর হোসেন।			
দূনীতি দমন কমিশনের (দূদক) বর্তমান চেয়ারম্যান কে?	উঃ ইকবাল মাহমুদ।	
সরকারী কর্ম কমিশনের (পিএসসি) বর্তমান চেয়ারম্যান কে?	উঃ মোহাম্মদ সাদিক।	
প্রধান নির্বাচন কমিশনের (সিইসি) কে?	উঃ কাজী রকিব উদ্দিন আহমেদ।			
বিশ্ববিদ্যালয় মঞ্জুরী কমিশনের বর্তমান চেয়ারম্যান কে?	উঃ প্রফেসর আবদুল মান্নান (১২তম)।	
আইন কমিশনের বর্তমান চেয়ারম্যান কে?	উঃ বিচারপতি এবিএম খায়রুল হক।			
বাংলাদেশ এনার্জি রেগুলেটরি কমিশনের বর্তমান চেয়ারম্যান কে?	উঃ এ কে খান			
স্থানীয় সরকার রেগুলেটরি কমিশনের প্রথম/বর্তমান চেয়ারম্যান কে?	উঃ সাবেক সচিব ফাইজুর রাজ্জাক।			
বিটিআরসি-এর বর্তমান চেয়ারম্যান কে?	উঃ শাহজাহান মাহমুদ।	
বাংলা একাডেমির বর্তমান মহাপরিচালক কে?	উঃ শামসুজ্জামান খান।			
শিল্পকলা একাডেমির বর্তমান চেয়ারম্যান কে?	উঃ লিয়াকত আলী লাকী।			
শিশু একাডেমির বর্তমান মহাপরিচালক কে?	উঃ কথাসাহিত্যিক সেলিনা হোসেন।			
বর্তমান কর ন্যায়পাল কে?	উঃ পদটি বিলুপ্ত			
বর্তমান কম্পট্রোলার এন্ড অডিটর জেনারেল (সিএজি) কে?	উঃ মাসুদ আহমেদ।			
র‌্যাব-এর বর্তমান মহা-পরিচালক কে?	উঃ বেনজীর আহমেদ।	
বাংলাদেশ ব্যাংকের বর্তমান গর্ভণর কে?	উঃ ফজলে কবির।	
বাংলাদেশ পুলিশের বর্তমান আইজি কে?	উঃ মোখলেছুর রহমান।	
ঢাকা মেট্রোপলিটন পুলিশ কমিশনার কে?	উঃ মোঃ আছাদুজ্জামান মিয়া।	
বর্ডার গার্ড বাংলাদেশ (বিজিবি)-এর বর্তমান মহাপরিচালক কে?	উঃ মেজর জেনারেল আজিজ আহমেদ।	
আনসার ও গ্রাম প্রতিরক্ষা বাহিনীর মহাপরিচালক কে?	উঃ মেজর জেনারেল মোঃ নাজিম উদ্দিন।			
স্পেশাল সিকিউরিটি ফোর্সের মহাপরিচালক কে?	উঃ মেজর জেনারেল শেখ মোহাম্মদ আমান হাসান।			
বর্তমান মন্ত্রী পরিষদ সচিব কে?	উঃ মোহাম্মদ শফিউল আলম।	
পার্বত্য ভূমি বিরোধ কমিশনের চেয়ারম্যান কে?	ঊঃ অবঃ বিচারপতি মোহাম্মদ আনোয়ার উল হক।	
রাঙ্গামাটি জেলা পরিষদের চেয়ারম্যান কে?	উঃ নিখিল কুমার চাকমা।			
বান্দরবান জেলা পরিষদের চেয়ারম্যান কে?	উঃ ক্য শৈ হ্লা মার্মা।			
খাগড়াছড়ি জেলা পরিষদের চেয়ারম্যান কে?	উঃ চাইথোঅং মারমা।			
রেগুলেটরী রিফরর্ম কমিশনের বর্তমান চেয়ারম্যান কে?	উঃ বর্তমানে বিলুপ্ত।			
জাতিসংঘে নিয়োজিত বাংলাদেশের বর্তমান স্থায়ী প্রতিনিধি কে?	উঃ ড. এ. কে. আব্দুল মোমেন।			
জুডিশিয়াল সার্ভিস কমিশনের (জেএসসি) বর্তমান চেয়ারম্যান কে?	উঃ বিচারপতি সুরেন্দ্র কুমার সিনহা।			
ট্রথ কমিশনের বর্তমান চেয়ারম্যান কে?	উঃ বর্তমান বিলুপ্ত।			
জাতীয় মানবাধিকার কমিশনের বর্তমান চেয়ারম্যান কে?	উঃ ড. মিজানুর রহমান।			
সিকিউরিটি অ্যান্ড এক্সচেঞ্জ কমিশনের (এসইসি) বর্তমান চেয়ারম্যান কে?	উঃ ড. এম. খায়রুল হোসেন।			
প্রাইভেটাইজেশন কমিশনের বর্তমান চেয়ারম্যান কে?	উঃ মোল্লা ওয়াহিদুজ্জামান।			
বর্তমান প্রধান তথ্য কমিশনার কে?	উঃ মোহাম্মদ ফারূক।			
বাংলাদেশ পরমাণু শক্তি কমিশনের বর্তমান চেয়ারম্যান?	উঃ মোঃ মনিরুল ইসলাম।	
সুপ্রিমকোর্টের বর্তমান রেজিস্ট্রার জেনারেল কে?	উঃ সৈয়দ আমিনুল ইসলাম।			
বাংলাদেশের সর্বোচ্চ আদালতের নাম কি?	উঃ সুপ্রীম কোর্ট।			
সুপ্রীম কোর্টর ডিভিশন কটি ও কি কি?	উঃ ২ টি। হাইকোর্ট ডিভিশন ও এ্যাপিলেট ডিভিশন।			
আপিল বিভাগের বর্তমানে বিচারকের সংখ্যা কত জন?	উঃ ৮ জন।			
সুপ্রীম কোর্টের বিচারপতির কার্যকালের মেয়াদ কত?	উঃ তাদের বয়স ৬৭ বৎসর পূর্ন হওয়া পর্যন্তু।			
সুপ্রীম জুডিশিয়াল কাউন্সিলের সদস্য কারা?	উঃ প্রধান বিচারপতি ও পরবর্তী দুজন সিনিয়র বিচারপতি।			
বিচারপতিদের নিয়োগ করেন কে?	উঃ রাষ্ট্রপতি।			
দেশে প্রথম মহিলা বিচারপতির নাম কি?	উঃ নাজমুন আরা সুলতানা।			
দেশে প্রথম মহিলা বিচারপতির (আপিল বিভাগ) নাম কি?	উঃ নাজমুন আরা সুলতানা।			
বাংলাদেশে প্রথম অন্ধ পাবলিক প্রসিকিউটর (পিপি) কে?	উঃ এডভোকেট খাদেমুল ইসলাম।			
দেশের প্রথম মহিলা পিপি-র নাম কি?	উঃ শামীম আরা স্বপ্না|			
হাই কোর্টে ফতোয়া কবে বেআইনি বলে রায় দেয়?	উঃ ১ জানুয়ারী, ২০০১।			
সুপ্রীম কোর্টে ফতোয়াকে কবে অবৈধ বলে ঘোষনা দেয়?	উঃ ৪ মার্চ, ২০০১।			
নির্বাহী বিভাগ থেকে কবে বিচার বিভাগ স্বাধীন পথ চলা শুরু হয়?	উঃ ১ নভেম্বর, ২০০৭।			
বিচার বিভাগ স্বাধীন করতে কে মামলা করেন?	উঃ মাজদার হোসেনসহ ৪৪০ বিচারক।			
মাজদার হোসেন কখন মামলাটি করেন?	উঃ ১৯ নভেম্বর, ১৯৯৫।			
মাজদার হোসেন মামলার বাদি পক্ষের প্রধান আইনজীবি কে ছিলেন?	উঃ ব্যারিস্টার আমীর-উল-ইসলাম।			
কবে হাইকোর্ট মাজদার হোসেনের পক্ষে রায় প্রদান করেন?	উঃ ০৭ মে, ১৯৯৭।			
কবে আপিল বিভাগ হাইকোর্টের রায় বহাল রেখে ১২ দফা নির্দেশনা প্রদান করেন?	উঃ ১৯৯৯।			
বিচার বিভাগ স্বাধীন করতে বিভিন্ন সরকার কতবার সময় নেয়?	উঃ ২৭ বার।			
স্বাধীন বিচার বিভাগ করতে কতটি জুডিশিয়াল ম্যাজিস্ট্রেটের পদ সষ্টি করা হয়?	উঃ ৬৫৫ জন (৬০০টি জুডিশিয়াল ও ৫৫টি মেট্রোপলিটন ম্যাজিস্ট্রেট।
কতজন জুডিশিয়াল ম্যাজিস্ট্রেট নিয়ে স্বাধীন বিচার বিভাগ চালু হয়?	উঃ ২১৮ জন সহকারী জজ।			
জুডিশিয়াল ম্যাজিস্ট্রেটদের কিভাবে নিয়োগ প্রদান করা হয়?	উঃ জুডিশিয়াল সার্ভিস কমিশনের মাধ্যমে।			
জুডিশিয়াল সার্ভিস কমিশনের সদস্য সংখ্যা কত জন?	উঃ ১১ জন।			
জুডিশিয়াল সার্ভিস পে-কমিশনের সদস্য সংখ্যা কত জন?	উঃ ৯ জন।			
মেট্রোপলিটন ম্যাজিস্ট্রেটদের বিচারিক ক্ষমতা কতটি ক্ষেত্রে সুনির্দিষ্ট আছে?	উঃ ২৫টি ক্ষেত্রে।			
ব্রিটিশ আমলে সর্ব প্রথম কবে থেকে ফৌজদারী আদালত স্থাপন করা হয়?	উঃ ১৭৭২ সালে।			
ব্রিটিশ আমলে কে কখন নির্বাহী বিভাগ থেকে বিচার বিভাগ সম্পূর্ন স্বাধীন করে দেন?	উঃ লর্ড কর্নওয়ালিশ, ১৭৯৩।			
ব্রিটিশ আমলে কে কখন আবার নির্বাহী বিভাগ ও বিচার বিভাগ একীভূত করেন?	উঃ লর্ড হেস্টিংস, ১৮২১।			
ব্রিটিশ আমলে কখন দেওয়ানী কাজ ফৌজদারী কাজ থেকে আলাদা করা হয়?	উঃ ১৮৩১ সালে।			
মূল সংবিধানের কত অনুছেদে বিচার বিভাগ আলাদা করার কথা বলা হয়?	উঃ ২২ অনুছেদে।	
সুপ্রিমকোর্টের প্রথম রেজিস্ট্রার জেনারেল কে?	উঃ সৈয়দ আমিনুল ইসলাম।
বাংলাদেশের প্রথম রাষ্ট্রপতি?	উঃ বঙ্গবন্ধু শেখ মুজিবুর রহমান।			
বাংলাদেশের প্রথম অস্থায়ী রাষ্ট্রপতি ?	উঃ সৈয়দ নজরুল ইসলাম।			
বাংলাদেশের প্রথম উপ-রাষ্ট্রপতি ?	উঃ সৈয়দ নজরুল ইসলাম।			
বাংলাদেশের প্রথম স্পীকার (গণ পরিষদ) ?	উঃ শাহ আব্দুল হামিদ।	
বাংলাদেশের প্রথম স্পীকার (জাতীয় সংসদ) ?	উঃ মোহাম্মদ উল্ল্যাহ।			
বাংলাদেশের প্রথম সি.ইন.সি. ?	উঃ জেনারেল এম. এ. জি. ওসমানী			
বাংলাদেশের প্রথম প্রধান বিচারপতি ?	উঃ এ. এস. এম. সায়েম			
বাংলাদেশের প্রথম এটর্নী জেনারেল ?	উঃ এম. এইচ. খোন্দকার।			
বাংলাদেশের প্রথম প্রধানমন্ত্রী ?	উঃ তাজউদ্দিন আহমেদ।			
বাংলাদেশের প্রথম মহিলা প্রধানমন্ত্রী ?	উঃ বেগম খালেদা জিয়া			
বাংলাদেশের প্রথম মহিলা বিরোধী দলীয় নেত্রী ?	উঃ শেখ হাসিনা			
বাংলাদেশের প্রথম নির্বাচন কমিশন ?	উঃ বিচারপতি মোহাম্মদ ইদ্রিস।			
বাংলাদেশে প্রতিষ্ঠিত প্রথম বিশ্ববিদ্যালয় ?	উঃ ঢাকা বিশ্ববিদ্যালয়			
ঢাকা বিশ্ববিদ্যালয়ের প্রথম ভাইস-চ্যান্সেলর ?	উঃ স্যার পি. জে. হাটর্স।			
ঢাকা পৌরসভার প্রথম চেয়ারম্যান ?	উঃ মিঃ স্কিনার।			
ঢাকা পৌরসভার নির্বাচিত প্রথম চেয়ারম্যান ?	উঃ আনন্দ চন্দ্র রায়।			
ঢাকা পৌর কর্পোরেশনের প্রথম মেয়র ?	উঃ ব্যারিস্টার আবুল হাসনাত।			
ঢাকা সিটি কর্পোরেশনের নির্বাচিত প্রথম মেয়র ?	উঃ মোহাম্মদ হানিফ			
প্রথম জাতীয় পতাকা উত্তোলনকারী ?	উঃ আ. স. ম. আব্দুর রব।			
বাংলদেশ ব্যাংকের প্রথম গর্ভনর ?	উঃ এ. এন. হামিদুল্লাহ			
বাংলাদেশে প্রথম মুদ্রা প্রচলনের তারিখ ?	উঃ ০৪ মার্চ, ১৯৭২			
বাংলাদেশকে প্রথম স্বীকৃতি প্রদানকারী দেশ ?	উঃ ভারত			
বাংলাদেশের প্রথম মহিলা নোটারী পাবলিক ?	উঃ মিসেস কামরুন্নাহার লাইলী			
বাংলাদেশের প্রথম মহিলা পাইলট ?	উঃ কানিজ ফাতেমা রোকশানা।			
বাংলাদেশের প্রথম মহিলা রাষ্ট্রদূত ?	উঃ মাহমুদা হক চৌধূরী			
বাংলাদেশ পলিশ একাডেমীর প্রথম মহিলা প্যারেড কমান্ডার ?	উঃ এলিজা শারমিন (০২ সেপ্টেম্বর, ২০০৭)।			
বাংলাদেশের প্রথম মডেল থানা কোনটি?	উঃ ভালুকা, ময়মনসিংহ।			
বাংলাদেশের প্রথম এভারেষ্ট বিজয়ী কে?	উঃ মুসা ইব্রাহিম (২৩ মে, ২০১০)			
বাংলাদেশের প্রথম মহিলা কুটনীতিবিদ?	উঃ তাহমিনা হক ডলি			
বাংলাদেশের প্রথম মহিলা সচিব ?	উঃ জাকিয়া আখতার			
বাংলাদেশের প্রথম মহিলা এস.পি ?	উঃ বেগম রওশন আরা			
বাংলাদেশের প্রথম মহিলা কাস্টমস কমিশনার ?	উঃ হাসিনা খাতুন			
বাংলাদেশ ব্যাংকের প্রথম মহিলা ব্যবস্থাপক ?	উঃ নাজনিন সুলতানা			
